5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed
04/01/2016 0:00,12,1,100
04/01/2016 0:05,13,1,100
04/01/2016 0:10,11,1,100
04/01/2016 0:15,13,1,100
04/01/2016 0:20,10,1,100
04/01/2016 0:25,10,1,100
04/01/2016 0:30,13,1,100
04/01/2016 0:35,11,1,100
04/01/2016 0:40,10,1,100
04/01/2016 0:45,6,1,100
04/01/2016 0:50,7,1,100
04/01/2016 0:55,8,1,100
04/01/2016 1:00,8,1,100
04/01/2016 1:05,12,1,100
04/01/2016 1:10,7,1,100
04/01/2016 1:15,5,1,100
04/01/2016 1:20,2,1,100
04/01/2016 1:25,6,1,100
04/01/2016 1:30,4,1,100
04/01/2016 1:35,3,1,100
04/01/2016 1:40,5,1,100
04/01/2016 1:45,6,1,100
04/01/2016 1:50,5,1,100
04/01/2016 1:55,6,1,100
04/01/2016 2:00,7,1,100
04/01/2016 2:05,7,1,100
04/01/2016 2:10,7,1,100
04/01/2016 2:15,3,1,100
04/01/2016 2:20,8,1,100
04/01/2016 2:25,5,1,100
04/01/2016 2:30,6,1,100
04/01/2016 2:35,4,1,100
04/01/2016 2:40,5,1,100
04/01/2016 2:45,7,1,100
04/01/2016 2:50,2,1,100
04/01/2016 2:55,9,1,100
04/01/2016 3:00,10,1,100
04/01/2016 3:05,7,1,100
04/01/2016 3:10,4,1,100
04/01/2016 3:15,6,1,100
04/01/2016 3:20,6,1,100
04/01/2016 3:25,4,1,100
04/01/2016 3:30,6,1,100
04/01/2016 3:35,15,1,100
04/01/2016 3:40,8,1,100
04/01/2016 3:45,9,1,100
04/01/2016 3:50,17,1,100
04/01/2016 3:55,16,1,100
04/01/2016 4:00,11,1,100
04/01/2016 4:05,15,1,100
04/01/2016 4:10,19,1,100
04/01/2016 4:15,15,1,100
04/01/2016 4:20,20,1,100
04/01/2016 4:25,26,1,100
04/01/2016 4:30,24,1,100
04/01/2016 4:35,27,1,100
04/01/2016 4:40,40,1,100
04/01/2016 4:45,50,1,100
04/01/2016 4:50,52,1,100
04/01/2016 4:55,51,1,100
04/01/2016 5:00,47,1,100
04/01/2016 5:05,51,1,100
04/01/2016 5:10,67,1,100
04/01/2016 5:15,72,1,100
04/01/2016 5:20,63,1,100
04/01/2016 5:25,68,1,100
04/01/2016 5:30,93,1,100
04/01/2016 5:35,93,1,100
04/01/2016 5:40,98,1,100
04/01/2016 5:45,95,1,100
04/01/2016 5:50,92,1,100
04/01/2016 5:55,98,1,100
04/01/2016 6:00,114,1,100
04/01/2016 6:05,98,1,100
04/01/2016 6:10,129,1,100
04/01/2016 6:15,125,1,100
04/01/2016 6:20,141,1,100
04/01/2016 6:25,123,1,100
04/01/2016 6:30,146,1,100
04/01/2016 6:35,139,1,100
04/01/2016 6:40,146,1,100
04/01/2016 6:45,146,1,100
04/01/2016 6:50,134,1,100
04/01/2016 6:55,134,1,100
04/01/2016 7:00,147,1,100
04/01/2016 7:05,138,1,100
04/01/2016 7:10,144,1,100
04/01/2016 7:15,131,1,100
04/01/2016 7:20,118,1,100
04/01/2016 7:25,104,1,100
04/01/2016 7:30,110,1,100
04/01/2016 7:35,98,1,100
04/01/2016 7:40,83,1,100
04/01/2016 7:45,79,1,100
04/01/2016 7:50,77,1,100
04/01/2016 7:55,77,1,100
04/01/2016 8:00,87,1,100
04/01/2016 8:05,91,1,100
04/01/2016 8:10,92,1,100
04/01/2016 8:15,79,1,100
04/01/2016 8:20,86,1,100
04/01/2016 8:25,93,1,100
04/01/2016 8:30,94,1,100
04/01/2016 8:35,101,1,100
04/01/2016 8:40,90,1,100
04/01/2016 8:45,83,1,100
04/01/2016 8:50,80,1,100
04/01/2016 8:55,85,1,100
04/01/2016 9:00,86,1,100
04/01/2016 9:05,79,1,100
04/01/2016 9:10,87,1,100
04/01/2016 9:15,104,1,100
04/01/2016 9:20,94,1,100
04/01/2016 9:25,136,1,100
04/01/2016 9:30,126,1,100
04/01/2016 9:35,123,1,100
04/01/2016 9:40,112,1,100
04/01/2016 9:45,104,1,100
04/01/2016 9:50,94,1,100
04/01/2016 9:55,118,1,100
04/01/2016 10:00,87,1,100
04/01/2016 10:05,101,1,100
04/01/2016 10:10,104,1,100
04/01/2016 10:15,97,1,100
04/01/2016 10:20,103,1,100
04/01/2016 10:25,87,1,100
04/01/2016 10:30,102,1,100
04/01/2016 10:35,99,1,100
04/01/2016 10:40,94,1,100
04/01/2016 10:45,86,1,100
04/01/2016 10:50,96,1,100
04/01/2016 10:55,88,1,100
04/01/2016 11:00,83,1,100
04/01/2016 11:05,87,1,100
04/01/2016 11:10,94,1,100
04/01/2016 11:15,94,1,100
04/01/2016 11:20,86,1,100
04/01/2016 11:25,112,1,100
04/01/2016 11:30,102,1,100
04/01/2016 11:35,70,1,100
04/01/2016 11:40,97,1,100
04/01/2016 11:45,80,1,100
04/01/2016 11:50,80,1,100
04/01/2016 11:55,89,1,100
04/01/2016 12:00,93,1,100
04/01/2016 12:05,81,1,100
04/01/2016 12:10,88,1,100
04/01/2016 12:15,81,1,100
04/01/2016 12:20,92,1,100
04/01/2016 12:25,87,1,100
04/01/2016 12:30,83,1,100
04/01/2016 12:35,98,1,100
04/01/2016 12:40,98,1,100
04/01/2016 12:45,89,1,100
04/01/2016 12:50,93,1,100
04/01/2016 12:55,85,1,100
04/01/2016 13:00,99,1,100
04/01/2016 13:05,67,1,100
04/01/2016 13:10,89,1,100
04/01/2016 13:15,63,1,100
04/01/2016 13:20,88,1,100
04/01/2016 13:25,89,1,100
04/01/2016 13:30,80,1,100
04/01/2016 13:35,79,1,100
04/01/2016 13:40,98,1,100
04/01/2016 13:45,102,1,100
04/01/2016 13:50,83,1,100
04/01/2016 13:55,88,1,100
04/01/2016 14:00,102,1,100
04/01/2016 14:05,93,1,100
04/01/2016 14:10,78,1,100
04/01/2016 14:15,87,1,100
04/01/2016 14:20,93,1,100
04/01/2016 14:25,80,1,100
04/01/2016 14:30,67,1,100
04/01/2016 14:35,86,1,100
04/01/2016 14:40,107,1,100
04/01/2016 14:45,100,1,100
04/01/2016 14:50,76,1,100
04/01/2016 14:55,104,1,100
04/01/2016 15:00,95,1,100
04/01/2016 15:05,82,1,100
04/01/2016 15:10,88,1,100
04/01/2016 15:15,90,1,100
04/01/2016 15:20,100,1,100
04/01/2016 15:25,92,1,100
04/01/2016 15:30,99,1,100
04/01/2016 15:35,102,1,100
04/01/2016 15:40,98,1,100
04/01/2016 15:45,86,1,100
04/01/2016 15:50,99,1,100
04/01/2016 15:55,85,1,100
04/01/2016 16:00,102,1,100
04/01/2016 16:05,72,1,100
04/01/2016 16:10,105,1,100
04/01/2016 16:15,97,1,100
04/01/2016 16:20,91,1,100
04/01/2016 16:25,80,1,100
04/01/2016 16:30,83,1,100
04/01/2016 16:35,77,1,100
04/01/2016 16:40,100,1,100
04/01/2016 16:45,82,1,100
04/01/2016 16:50,93,1,100
04/01/2016 16:55,78,1,100
04/01/2016 17:00,87,1,100
04/01/2016 17:05,85,1,100
04/01/2016 17:10,79,1,100
04/01/2016 17:15,105,1,100
04/01/2016 17:20,103,1,100
04/01/2016 17:25,90,1,100
04/01/2016 17:30,82,1,100
04/01/2016 17:35,100,1,100
04/01/2016 17:40,92,1,100
04/01/2016 17:45,80,1,100
04/01/2016 17:50,83,1,100
04/01/2016 17:55,77,1,100
04/01/2016 18:00,73,1,100
04/01/2016 18:05,67,1,100
04/01/2016 18:10,76,1,100
04/01/2016 18:15,76,1,100
04/01/2016 18:20,68,1,100
04/01/2016 18:25,72,1,100
04/01/2016 18:30,72,1,100
04/01/2016 18:35,60,1,100
04/01/2016 18:40,69,1,100
04/01/2016 18:45,75,1,100
04/01/2016 18:50,60,1,100
04/01/2016 18:55,61,1,100
04/01/2016 19:00,69,1,100
04/01/2016 19:05,58,1,100
04/01/2016 19:10,63,1,100
04/01/2016 19:15,71,1,100
04/01/2016 19:20,64,1,100
04/01/2016 19:25,58,1,100
04/01/2016 19:30,53,1,100
04/01/2016 19:35,59,1,100
04/01/2016 19:40,69,1,100
04/01/2016 19:45,54,1,100
04/01/2016 19:50,60,1,100
04/01/2016 19:55,51,1,100
04/01/2016 20:00,40,1,100
04/01/2016 20:05,58,1,100
04/01/2016 20:10,48,1,100
04/01/2016 20:15,41,1,100
04/01/2016 20:20,50,1,100
04/01/2016 20:25,47,1,100
04/01/2016 20:30,43,1,100
04/01/2016 20:35,42,1,100
04/01/2016 20:40,42,1,100
04/01/2016 20:45,54,1,100
04/01/2016 20:50,38,1,100
04/01/2016 20:55,42,1,100
04/01/2016 21:00,41,1,100
04/01/2016 21:05,49,1,100
04/01/2016 21:10,46,1,100
04/01/2016 21:15,34,1,100
04/01/2016 21:20,38,1,100
04/01/2016 21:25,41,1,100
04/01/2016 21:30,41,1,100
04/01/2016 21:35,48,1,100
04/01/2016 21:40,30,1,100
04/01/2016 21:45,33,1,100
04/01/2016 21:50,40,1,100
04/01/2016 21:55,24,1,100
04/01/2016 22:00,34,1,100
04/01/2016 22:05,24,1,100
04/01/2016 22:10,33,1,100
04/01/2016 22:15,32,1,100
04/01/2016 22:20,23,1,100
04/01/2016 22:25,24,1,100
04/01/2016 22:30,24,1,100
04/01/2016 22:35,26,1,100
04/01/2016 22:40,19,1,100
04/01/2016 22:45,16,1,100
04/01/2016 22:50,14,1,100
04/01/2016 22:55,21,1,100
04/01/2016 23:00,16,1,100
04/01/2016 23:05,11,1,100
04/01/2016 23:10,19,1,100
04/01/2016 23:15,22,1,100
04/01/2016 23:20,16,1,100
04/01/2016 23:25,16,1,100
04/01/2016 23:30,17,1,100
04/01/2016 23:35,23,1,100
04/01/2016 23:40,10,1,100
04/01/2016 23:45,20,1,100
04/01/2016 23:50,20,1,100
04/01/2016 23:55,11,1,100
05/01/2016 0:00,12,1,100
05/01/2016 0:05,14,1,100
05/01/2016 0:10,9,1,100
05/01/2016 0:15,6,1,100
05/01/2016 0:20,9,1,100
05/01/2016 0:25,9,1,100
05/01/2016 0:30,12,1,100
05/01/2016 0:35,10,1,100
05/01/2016 0:40,6,1,100
05/01/2016 0:45,6,1,100
05/01/2016 0:50,12,1,100
05/01/2016 0:55,2,1,100
05/01/2016 1:00,11,1,100
05/01/2016 1:05,5,1,100
05/01/2016 1:10,9,1,100
05/01/2016 1:15,8,1,100
05/01/2016 1:20,8,1,100
05/01/2016 1:25,2,1,100
05/01/2016 1:30,9,1,100
05/01/2016 1:35,7,1,100
05/01/2016 1:40,1,1,100
05/01/2016 1:45,5,1,100
05/01/2016 1:50,5,1,100
05/01/2016 1:55,8,1,100
05/01/2016 2:00,3,1,100
05/01/2016 2:05,4,1,100
05/01/2016 2:10,5,1,100
05/01/2016 2:15,3,1,100
05/01/2016 2:20,6,1,100
05/01/2016 2:25,7,1,100
05/01/2016 2:30,3,1,100
05/01/2016 2:35,8,1,100
05/01/2016 2:40,3,1,100
05/01/2016 2:45,3,1,100
05/01/2016 2:50,3,1,100
05/01/2016 2:55,2,1,100
05/01/2016 3:00,4,1,100
05/01/2016 3:05,2,1,100
05/01/2016 3:10,4,1,100
05/01/2016 3:15,7,1,100
05/01/2016 3:20,8,1,100
05/01/2016 3:25,6,1,100
05/01/2016 3:30,6,1,100
05/01/2016 3:35,8,1,100
05/01/2016 3:40,8,1,100
05/01/2016 3:45,12,1,100
05/01/2016 3:50,6,1,100
05/01/2016 3:55,7,1,100
05/01/2016 4:00,12,1,100
05/01/2016 4:05,11,1,100
05/01/2016 4:10,10,1,100
05/01/2016 4:15,19,1,100
05/01/2016 4:20,17,1,100
05/01/2016 4:25,16,1,100
05/01/2016 4:30,18,1,100
05/01/2016 4:35,24,1,100
05/01/2016 4:40,33,1,100
05/01/2016 4:45,45,1,100
05/01/2016 4:50,44,1,100
05/01/2016 4:55,40,1,100
05/01/2016 5:00,53,1,100
05/01/2016 5:05,44,1,100
05/01/2016 5:10,54,1,100
05/01/2016 5:15,67,1,100
05/01/2016 5:20,60,1,100
05/01/2016 5:25,69,1,100
05/01/2016 5:30,75,1,100
05/01/2016 5:35,73,1,100
05/01/2016 5:40,106,1,100
05/01/2016 5:45,101,1,100
05/01/2016 5:50,94,1,100
05/01/2016 5:55,90,1,100
05/01/2016 6:00,108,1,100
05/01/2016 6:05,106,1,100
05/01/2016 6:10,120,1,100
05/01/2016 6:15,126,1,100
05/01/2016 6:20,127,1,100
05/01/2016 6:25,163,1,100
05/01/2016 6:30,128,1,100
05/01/2016 6:35,154,1,100
05/01/2016 6:40,157,1,100
05/01/2016 6:45,171,1,100
05/01/2016 6:50,152,1,100
05/01/2016 6:55,150,1,100
05/01/2016 7:00,148,1,100
05/01/2016 7:05,147,1,100
05/01/2016 7:10,148,1,100
05/01/2016 7:15,136,1,100
05/01/2016 7:20,136,1,100
05/01/2016 7:25,96,1,100
05/01/2016 7:30,114,1,100
05/01/2016 7:35,103,1,100
05/01/2016 7:40,77,1,100
05/01/2016 7:45,82,1,100
05/01/2016 7:50,63,1,100
05/01/2016 7:55,74,1,100
05/01/2016 8:00,85,1,100
05/01/2016 8:05,91,1,100
05/01/2016 8:10,73,1,100
05/01/2016 8:15,80,1,100
05/01/2016 8:20,70,1,100
05/01/2016 8:25,69,1,100
05/01/2016 8:30,69,1,100
05/01/2016 8:35,63,1,100
05/01/2016 8:40,77,1,100
05/01/2016 8:45,59,1,100
05/01/2016 8:50,65,1,100
05/01/2016 8:55,63,1,100
05/01/2016 9:00,56,1,100
05/01/2016 9:05,57,1,100
05/01/2016 9:10,66,1,100
05/01/2016 9:15,73,1,100
05/01/2016 9:20,63,1,100
05/01/2016 9:25,70,1,100
05/01/2016 9:30,80,1,100
05/01/2016 9:35,79,1,100
05/01/2016 9:40,90,1,100
05/01/2016 9:45,87,1,100
05/01/2016 9:50,83,1,100
05/01/2016 9:55,59,1,100
05/01/2016 10:00,78,1,100
05/01/2016 10:05,63,1,100
05/01/2016 10:10,71,1,100
05/01/2016 10:15,73,1,100
05/01/2016 10:20,76,1,100
05/01/2016 10:25,90,1,100
05/01/2016 10:30,70,1,100
05/01/2016 10:35,83,1,100
05/01/2016 10:40,74,1,100
05/01/2016 10:45,87,1,100
05/01/2016 10:50,75,1,100
05/01/2016 10:55,85,1,100
05/01/2016 11:00,80,1,100
05/01/2016 11:05,69,1,100
05/01/2016 11:10,72,1,100
05/01/2016 11:15,75,1,100
05/01/2016 11:20,77,1,100
05/01/2016 11:25,72,1,100
05/01/2016 11:30,64,1,100
05/01/2016 11:35,90,1,100
05/01/2016 11:40,89,1,100
05/01/2016 11:45,53,1,100
05/01/2016 11:50,46,1,100
05/01/2016 11:55,47,1,100
05/01/2016 12:00,41,1,100
05/01/2016 12:05,83,1,100
05/01/2016 12:10,63,1,100
05/01/2016 12:15,76,1,100
05/01/2016 12:20,71,1,100
05/01/2016 12:25,47,1,100
05/01/2016 12:30,72,1,100
05/01/2016 12:35,71,1,100
05/01/2016 12:40,37,1,100
05/01/2016 12:45,17,1,100
05/01/2016 12:50,74,1,100
05/01/2016 12:55,72,1,100
05/01/2016 13:00,80,1,100
05/01/2016 13:05,69,1,100
05/01/2016 13:10,62,1,100
05/01/2016 13:15,57,1,100
05/01/2016 13:20,65,1,100
05/01/2016 13:25,51,1,100
05/01/2016 13:30,61,1,100
05/01/2016 13:35,69,1,100
05/01/2016 13:40,77,1,100
05/01/2016 13:45,31,1,100
05/01/2016 13:50,95,1,100
05/01/2016 13:55,77,1,100
05/01/2016 14:00,64,1,100
05/01/2016 14:05,69,1,100
05/01/2016 14:10,57,1,100
05/01/2016 14:15,74,1,100
05/01/2016 14:20,73,1,100
05/01/2016 14:25,70,1,100
05/01/2016 14:30,74,1,100
05/01/2016 14:35,65,1,100
05/01/2016 14:40,73,1,100
05/01/2016 14:45,87,1,100
05/01/2016 14:50,56,1,100
05/01/2016 14:55,71,1,100
05/01/2016 15:00,51,1,100
05/01/2016 15:05,67,1,100
05/01/2016 15:10,65,1,100
05/01/2016 15:15,79,1,100
05/01/2016 15:20,95,1,100
05/01/2016 15:25,81,1,100
05/01/2016 15:30,79,1,100
05/01/2016 15:35,92,1,100
05/01/2016 15:40,103,1,100
05/01/2016 15:45,83,1,100
05/01/2016 15:50,89,1,100
05/01/2016 15:55,71,1,100
05/01/2016 16:00,72,1,100
05/01/2016 16:05,74,1,100
05/01/2016 16:10,81,1,100
05/01/2016 16:15,77,1,100
05/01/2016 16:20,80,1,100
05/01/2016 16:25,86,1,100
05/01/2016 16:30,78,1,100
05/01/2016 16:35,73,1,100
05/01/2016 16:40,82,1,100
05/01/2016 16:45,70,1,100
05/01/2016 16:50,83,1,100
05/01/2016 16:55,81,1,100
05/01/2016 17:00,75,1,100
05/01/2016 17:05,80,1,100
05/01/2016 17:10,81,1,100
05/01/2016 17:15,95,1,100
05/01/2016 17:20,95,1,100
